Cow,Ingredient,AF_Qty,AF_Head,DM_fract,DM_Qty,DM_Head,Pen_old,Pen,Cow_amount,Cow_n,Year,Month,month,Days in month, Moisture, Dry_Matter, pH, CP, ADF, aNDF, Lignin, Starch, ESC(Sugar), WSC(Sugar), EE(Fat), TFA(Fat), Ash,C%,OM
dairy,UN D MX,4302,4302,0.47,2022,2021.94,D9-51-6880,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,3718,3718,0.47,1747,1747.46,D9-52-6876,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,3053,3053,0.47,1435,1434.91,D9-53-5609,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,2873,2873,0.47,1350,1350.31,D9-54-6872,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,3132,3132,0.47,1472,1472.04,D9-55-6057,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,3919,3919,0.47,1842,1841.93,D9-56-6408,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,3497,3497,0.47,1644,1643.59,D9-57-6850,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,2962,2962,0.47,1392,1392.14,D9-58-5222,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,4409,4409,0.47,2072,2072.23,D9-59-6037,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,KFK8-A Mix,1217,1217,0.46,556,556.17,D9-60-6687,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,UN D MX,1949,1949,0.47,916,916.03,D9-60-6687,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,KFK8-A Mix,4999,4999,0.46,2285,2284.54,D9-61-6694,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3280,3280,0.46,1499,1498.96,D9-62-5844,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4332,4332,0.46,1980,1979.72,D9-63-6063,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3978,3978,0.46,1818,1817.95,D9-64-8751,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4514,4514,0.46,2063,2062.9,D9-65-8729,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3649,3649,0.46,1668,1667.59,D9-66-8727,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3359,3359,0.46,1535,1535.06,D9-67-8721,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
